run,path,status,reason,warnings,n_trials,n_valid_trials,run_id,task_id,task_hash,study_id,pair_id,arm,seed,gpu,start_commit,prepared_id,resources,budget_seconds,agent_model,trial,score,metric_version,maximize,validation_rows,source_sha256,evaluator_sha256,environment_sha256
jubias-pair-004-analogy-1d27d282-3a8c-483b-a230-06143ca33405,/Users/william/nautilus/autoresearch-result/jubias-pair-004-analogy-1d27d282-3a8c-483b-a230-06143ca33405,excluded,manual:interrupted_initial_attempt_replaced_by_completed_rerun,run_completion_not_documented,1,1,jubias-pair-004-analogy-1d27d282-3a8c-483b-a230-06143ca33405,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-004,analogy,1337,"NVIDIA GeForce RTX 2080 Ti, 11264 MiB",2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,,,,trial0001,0.9219654350264859,jubias-continuous-auc-v1,True,90244,ce336c0f89108c8a6d9904d6e3cb250c382f89e55924ce63e6c9d0f6b95bf72c,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,/Users/william/nautilus/autoresearch-result/jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,eligible,,,13,13,jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-004,analogy,1337,"NVIDIA A10, 23028 MiB",2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0011,0.9303607097997396,jubias-continuous-auc-v1,True,90244,21f06fa5a39e2dbf3dbee16608b445569666d53f1ea11b14bcbc66af6722e635,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-004-baseline-0b96a385-1ed1-46ab-a40a-6748936a9a03,/Users/william/nautilus/autoresearch-result/jubias-pair-004-baseline-0b96a385-1ed1-46ab-a40a-6748936a9a03,excluded,manual:host_uvm_failure_replaced_by_completed_rerun,run_completion_not_documented,2,1,jubias-pair-004-baseline-0b96a385-1ed1-46ab-a40a-6748936a9a03,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-004,baseline,1337,"NVIDIA GeForce RTX 2080 Ti, 11264 MiB",2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0001,0.9252556592052869,jubias-continuous-auc-v1,True,90244,25611f196e3abcce895203cf3e0c2ff13b46bd97cdbd291d733e9ea15d48d9f7,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-004-baseline-7cbc6d0e-1c6f-4092-a51e-69d2c716e82c,/Users/william/nautilus/autoresearch-result/jubias-pair-004-baseline-7cbc6d0e-1c6f-4092-a51e-69d2c716e82c,eligible,,best_pointer_differs_from_verified_optimum,16,16,jubias-pair-004-baseline-7cbc6d0e-1c6f-4092-a51e-69d2c716e82c,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-004,baseline,1337,"Tesla V100-SXM2-16GB, 16384 MiB",2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0013,0.9339415935347811,jubias-continuous-auc-v1,True,90244,8b0e5a9527f0324bda494a19f40de277e1a5de9e8dbeece663b017c14386e015,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-005-analogy-221d48b3-c95c-4646-bdd6-924c1fd1d22f,/Users/william/nautilus/autoresearch-result/jubias-pair-005-analogy-221d48b3-c95c-4646-bdd6-924c1fd1d22f,excluded,no_valid_completed_result,,1,0,jubias-pair-005-analogy-221d48b3-c95c-4646-bdd6-924c1fd1d22f,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-005,analogy,1337,NVIDIA GeForce RTX 2080 Ti,2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,,,,,,,,
jubias-pair-005-analogy-63fda2a5-3525-4c7c-b338-70771f48db71,/Users/william/nautilus/autoresearch-result/jubias-pair-005-analogy-63fda2a5-3525-4c7c-b338-70771f48db71,eligible,,,16,15,jubias-pair-005-analogy-63fda2a5-3525-4c7c-b338-70771f48db71,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-005,analogy,1337,"NVIDIA A10, 23028 MiB, 595.91.07",2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0012,0.9269619479789843,jubias-continuous-auc-v1,True,90244,19c1ee9516418686f8009d329768064432d0563024b89cfa0944ba795f2762d5,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-005-baseline-cf3aa6fa-d637-47c0-82a7-f1993a3fd7b6,/Users/william/nautilus/autoresearch-result/jubias-pair-005-baseline-cf3aa6fa-d637-47c0-82a7-f1993a3fd7b6,eligible,,best_pointer_differs_from_verified_optimum,16,15,jubias-pair-005-baseline-cf3aa6fa-d637-47c0-82a7-f1993a3fd7b6,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-005,baseline,1337,Tesla V100-SXM2-16GB,2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0014,0.9343031953172702,jubias-continuous-auc-v1,True,90244,89deb9d0bd1ba068f46ff20cc32bb19994563934fded4bc5b1c5a6a16972b848,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-005-baseline-fd741ba9-6ba9-4d20-b607-bcd9a22c22e1,/Users/william/nautilus/autoresearch-result/jubias-pair-005-baseline-fd741ba9-6ba9-4d20-b607-bcd9a22c22e1,excluded,manual:host_uvm_failure_replaced_by_completed_rerun,run_completion_not_documented,3,2,jubias-pair-005-baseline-fd741ba9-6ba9-4d20-b607-bcd9a22c22e1,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-005,baseline,1337,"NVIDIA GeForce RTX 2080 Ti, 11264 MiB, 595.71.05",2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0002,0.9303315270924881,jubias-continuous-auc-v1,True,90244,0c0bf30faf0c302237d3a7927d03ca5ab91f4e5a11c5a82f27cc8bfb2d980ab5,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-006-analogy-52bf396f-ae55-4c66-8193-32d654b36f85,/Users/william/nautilus/autoresearch-result/jubias-pair-006-analogy-52bf396f-ae55-4c66-8193-32d654b36f85,eligible,,,15,13,jubias-pair-006-analogy-52bf396f-ae55-4c66-8193-32d654b36f85,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-006,analogy,1337,"NVIDIA GeForce RTX 2080 Ti, 11264 MiB",2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0013,0.9289495050398707,jubias-continuous-auc-v1,True,90244,ad4efdf941b29272f051ff47580ec20522a24b77893207b8383ed19f61ad8e07,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-006-analogy-89485097-7cf6-488d-b7e9-9e714a821a05,/Users/william/nautilus/autoresearch-result/jubias-pair-006-analogy-89485097-7cf6-488d-b7e9-9e714a821a05,excluded,no_valid_completed_result,,1,0,jubias-pair-006-analogy-89485097-7cf6-488d-b7e9-9e714a821a05,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-006,analogy,1337,"NVIDIA A10, 23028 MiB",2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,,,,,,,,
jubias-pair-006-analogy-db60581a-f7ec-4c16-83c0-6fbb1379d6d8,/Users/william/nautilus/autoresearch-result/jubias-pair-006-analogy-db60581a-f7ec-4c16-83c0-6fbb1379d6d8,excluded,manual:host_uvm_failure_replaced_by_completed_rerun,run_completion_not_documented,2,1,jubias-pair-006-analogy-db60581a-f7ec-4c16-83c0-6fbb1379d6d8,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-006,analogy,1337,NVIDIA GeForce RTX 2080 Ti,2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0001,0.9246397247410577,jubias-continuous-auc-v1,True,90244,5ac942236eedbc3fe25511f8a83dd7c961da7379ba15d60ade4a6221035d5ecc,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-006-baseline-2ef1b7bc-11e6-451b-ae43-cfc8fe26baa1,/Users/william/nautilus/autoresearch-result/jubias-pair-006-baseline-2ef1b7bc-11e6-451b-ae43-cfc8fe26baa1,excluded,manual:interrupted_initial_attempt_replaced_by_completed_rerun,run_completion_not_documented,4,3,jubias-pair-006-baseline-2ef1b7bc-11e6-451b-ae43-cfc8fe26baa1,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-006,baseline,1337,"{'amp_dtype': 'float16', 'compute_capability': '7.5', 'name': 'NVIDIA GeForce RTX 2080 Ti', 'native_bf16_tensor_cores': False, 'total_vram_mb': 10821.9}",2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0003,0.9272444632223098,jubias-continuous-auc-v1,True,90244,63cf665283dcb68c54f23e160b904ad0826893c035f3c738c0e32a547762db4b,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
jubias-pair-006-baseline-9c6629d3-6ce1-449a-974f-e7a80dae95ac,/Users/william/nautilus/autoresearch-result/jubias-pair-006-baseline-9c6629d3-6ce1-449a-974f-e7a80dae95ac,eligible,,,18,17,jubias-pair-006-baseline-9c6629d3-6ce1-449a-974f-e7a80dae95ac,jigsaw-unintended-bias-in-toxicity-classification,b594ee8a61dae656195c34aa9f8c15aaa4eaee4bbd1fc676321684a07fda1951,jubias,jubias-pair-006,baseline,1337,"NVIDIA A10, 23028 MiB, 595.91.07",2ee2bbce661d72540405e4166d2689e40a964529,6f70ff00a169ba12f9beaf7f9929204aa63e54d7e4ccf6ab5f9f75c85299f9e8,1x NVIDIA GPU (compute capability >=7.0; VRAM varies); CPU=8; RAM=32Gi,,,trial0016,0.9324685569649482,jubias-continuous-auc-v1,True,90244,8d7263f0ff04cb033b2595c2880bb70f629e19b2483658f6f25e804a17eec038,df9daacda9d77cf54f3d050891712bf57a87df4cb64289e78109151dd5909fcd,a89f53c59089007aebe8bb7fa7b7d0bc1ec5081613df7307583a437762732dd6
