study_id,task,run_id,arm,stage,view,pair_id,n_candidates,n_available,n_valid,n_not_verified_completed,n_changed,n_no_change,n_insufficient,n_missing,n_errors,n_pending,n_excluded,changed_fraction,no_change_fraction,insufficient_fraction,issues,run,reason,runs
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-004-analogy-1d27d282-3a8c-483b-a230-06143ca33405,analogy,,implementation,,1,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,invalid_adoption_call_id,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4,analogy,,implementation,,13,0,13,0,0,0,0,13,0,0,0,0.0,0.0,0.0,invalid_adoption_call_id,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-004-baseline-0b96a385-1ed1-46ab-a40a-6748936a9a03,baseline,,implementation,,2,0,1,1,0,0,0,2,0,0,0,0.0,0.0,0.0,missing_stage_or_parent_evidence,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-004-baseline-7cbc6d0e-1c6f-4092-a51e-69d2c716e82c,baseline,,implementation,,16,0,16,0,0,0,0,16,0,0,0,0.0,0.0,0.0,missing_stage_or_parent_evidence,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-005-analogy-221d48b3-c95c-4646-bdd6-924c1fd1d22f,analogy,,implementation,,1,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,invalid_adoption_call_id,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-005-analogy-63fda2a5-3525-4c7c-b338-70771f48db71,analogy,,implementation,,16,0,15,1,0,0,0,16,0,0,0,0.0,0.0,0.0,invalid_adoption_call_id,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-005-baseline-cf3aa6fa-d637-47c0-82a7-f1993a3fd7b6,baseline,,implementation,,15,0,15,0,0,0,0,15,0,0,0,0.0,0.0,0.0,missing_stage_or_parent_evidence,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-005-baseline-cf3aa6fa-d637-47c0-82a7-f1993a3fd7b6,baseline,draft,implementation,,1,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,missing_summary_api_key,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-005-baseline-fd741ba9-6ba9-4d20-b607-bcd9a22c22e1,baseline,,implementation,,3,0,2,1,0,0,0,3,0,0,0,0.0,0.0,0.0,missing_stage_or_parent_evidence,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-006-analogy-52bf396f-ae55-4c66-8193-32d654b36f85,analogy,,implementation,,15,0,13,2,0,0,0,15,0,0,0,0.0,0.0,0.0,invalid_adoption_call_id,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-006-analogy-89485097-7cf6-488d-b7e9-9e714a821a05,analogy,,implementation,,1,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,invalid_adoption_call_id,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-006-analogy-db60581a-f7ec-4c16-83c0-6fbb1379d6d8,analogy,,implementation,,2,0,1,1,0,0,0,2,0,0,0,0.0,0.0,0.0,invalid_adoption_call_id,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-006-baseline-2ef1b7bc-11e6-451b-ae43-cfc8fe26baa1,baseline,,implementation,,3,0,2,1,0,0,0,3,0,0,0,0.0,0.0,0.0,missing_stage_or_parent_evidence,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-006-baseline-2ef1b7bc-11e6-451b-ae43-cfc8fe26baa1,baseline,draft,implementation,,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,missing_summary_api_key,,,
jubias,jigsaw-unintended-bias-in-toxicity-classification,jubias-pair-006-baseline-9c6629d3-6ce1-449a-974f-e7a80dae95ac,baseline,,implementation,,18,0,17,1,0,0,0,18,0,0,0,0.0,0.0,0.0,missing_stage_or_parent_evidence,,,
,,,,,,,,,,,,,,,,,,,,,,jubias-pair-001-analogy,no_verified_source_candidates,
,,,,,,,,,,,,,,,,,,,,,,jubias-pair-001-analogy-431ea4fc-f031-43bb-bdf5-a8e28bc9e787,no_verified_source_candidates,
,,,,,,,,,,,,,,,,,,,,,,jubias-pair-001-analogy-67de599d-d71d-4987-af7b-58469549f21e,no_verified_source_candidates,
,,,,,,,,,,,,,,,,,,,,,,jubias-pair-001-baseline,no_verified_source_candidates,
jubias,jigsaw-unintended-bias-in-toxicity-classification,,,,,jubias-pair-004,,,,,,,,,,,,,,,,,ambiguous_source_runs_per_arm,jubias-pair-004-analogy-1d27d282-3a8c-483b-a230-06143ca33405;jubias-pair-004-analogy-f9fd19d9-60e2-46ca-a494-870de58cddc4;jubias-pair-004-baseline-0b96a385-1ed1-46ab-a40a-6748936a9a03;jubias-pair-004-baseline-7cbc6d0e-1c6f-4092-a51e-69d2c716e82c
jubias,jigsaw-unintended-bias-in-toxicity-classification,,,,,jubias-pair-005,,,,,,,,,,,,,,,,,pair_metric_version_unknown,jubias-pair-005-analogy-221d48b3-c95c-4646-bdd6-924c1fd1d22f;jubias-pair-005-analogy-63fda2a5-3525-4c7c-b338-70771f48db71;jubias-pair-005-baseline-cf3aa6fa-d637-47c0-82a7-f1993a3fd7b6;jubias-pair-005-baseline-fd741ba9-6ba9-4d20-b607-bcd9a22c22e1
jubias,jigsaw-unintended-bias-in-toxicity-classification,,,,,jubias-pair-005,,,,,,,,,,,,,,,,,pair_maximize_unknown,jubias-pair-005-analogy-221d48b3-c95c-4646-bdd6-924c1fd1d22f;jubias-pair-005-analogy-63fda2a5-3525-4c7c-b338-70771f48db71;jubias-pair-005-baseline-cf3aa6fa-d637-47c0-82a7-f1993a3fd7b6;jubias-pair-005-baseline-fd741ba9-6ba9-4d20-b607-bcd9a22c22e1
jubias,jigsaw-unintended-bias-in-toxicity-classification,,,,,jubias-pair-005,,,,,,,,,,,,,,,,,ambiguous_source_runs_per_arm,jubias-pair-005-analogy-221d48b3-c95c-4646-bdd6-924c1fd1d22f;jubias-pair-005-analogy-63fda2a5-3525-4c7c-b338-70771f48db71;jubias-pair-005-baseline-cf3aa6fa-d637-47c0-82a7-f1993a3fd7b6;jubias-pair-005-baseline-fd741ba9-6ba9-4d20-b607-bcd9a22c22e1
jubias,jigsaw-unintended-bias-in-toxicity-classification,,,,,jubias-pair-006,,,,,,,,,,,,,,,,,pair_metric_version_unknown,jubias-pair-006-analogy-52bf396f-ae55-4c66-8193-32d654b36f85;jubias-pair-006-analogy-89485097-7cf6-488d-b7e9-9e714a821a05;jubias-pair-006-analogy-db60581a-f7ec-4c16-83c0-6fbb1379d6d8;jubias-pair-006-baseline-2ef1b7bc-11e6-451b-ae43-cfc8fe26baa1;jubias-pair-006-baseline-9c6629d3-6ce1-449a-974f-e7a80dae95ac
jubias,jigsaw-unintended-bias-in-toxicity-classification,,,,,jubias-pair-006,,,,,,,,,,,,,,,,,pair_maximize_unknown,jubias-pair-006-analogy-52bf396f-ae55-4c66-8193-32d654b36f85;jubias-pair-006-analogy-89485097-7cf6-488d-b7e9-9e714a821a05;jubias-pair-006-analogy-db60581a-f7ec-4c16-83c0-6fbb1379d6d8;jubias-pair-006-baseline-2ef1b7bc-11e6-451b-ae43-cfc8fe26baa1;jubias-pair-006-baseline-9c6629d3-6ce1-449a-974f-e7a80dae95ac
jubias,jigsaw-unintended-bias-in-toxicity-classification,,,,,jubias-pair-006,,,,,,,,,,,,,,,,,ambiguous_source_runs_per_arm,jubias-pair-006-analogy-52bf396f-ae55-4c66-8193-32d654b36f85;jubias-pair-006-analogy-89485097-7cf6-488d-b7e9-9e714a821a05;jubias-pair-006-analogy-db60581a-f7ec-4c16-83c0-6fbb1379d6d8;jubias-pair-006-baseline-2ef1b7bc-11e6-451b-ae43-cfc8fe26baa1;jubias-pair-006-baseline-9c6629d3-6ce1-449a-974f-e7a80dae95ac
